Characteristics,Predictors,N total,N control,N expose,Beta,SE,Lower 95%CI,Upper 95%CI,Beta (95%CI),P value,P BFI,Abbreviations,p_star
BAG,All Infectious Diseases,62931,20897,42034,0.205638362551014,0.0353476710566576,0.13635686739316,0.274919857708868,"0.21 (0.14, 0.27)",5.99892725622927e-09,1.31976399637044e-07,Any,**
BAG,  Bacterial Infections,62931,36001,26930,0.12384786004229,0.0336979359623814,0.0577998484642349,0.189895871620345,"0.12 (0.06, 0.19)",0.000237827127476737,0.00523219680448822,Bacterial,**
BAG,    Invasive Bacterial Infections,62931,54393,8538,0.131510170567179,0.0486105296006483,0.0362334501928756,0.226786890941483,"0.13 (0.04, 0.23)",0.00682437532942137,0.15013625724727,Invasive,*
BAG,    Localised Bacterial Infections,62931,40110,22821,0.119012558275607,0.0346879414111992,0.0510241343405797,0.187000982210634,"0.12 (0.05, 0.19)",0.000601859808708261,0.0132409157915817,Localised,**
BAG,    Bacterial Infections with Sepsis,62931,62267,664,0.725631123264996,0.162816858478373,0.406509804799467,1.04475244173052,"0.73 (0.41, 1.04)",8.3361950541286e-06,0.000183396291190829,Sepsis,**
BAG,    Bacterial Infections without Sepsis,62931,36142,26789,0.116254702593669,0.0337216433112413,0.0501602245716836,0.182349180615655,"0.12 (0.05, 0.18)",0.000566211415879931,0.0124566511493585,No-Sepsis,**
BAG,    Extracellular Bacterial Infections,62931,57502,5429,0.20210900435909,0.0593217184020954,0.0858383357868179,0.318379672931363,"0.20 (0.09, 0.32)",0.000657225780847164,0.0144589671786376,Extracellular,**
BAG,    Intracellular Bacterial Infections,62931,62267,664,0.126960811633615,0.162802666177221,-0.19213268989761,0.446054313164841,"0.13 (-0.19, 0.45)",0.435485170474253,1.0,Intracellular,
BAG,    Gram Positive Bacterial Infections,62931,60539,2392,0.0972222370759944,0.0869961001907096,-0.0732902666885107,0.2677347408405,"0.10 (-0.07, 0.27)",0.263764752341561,1.0,Gram Positive,
BAG,    Gram Negative Bacterial Infections,62931,59244,3687,0.224901528981499,0.0708954733860135,0.0859462810322355,0.363856776930762,"0.22 (0.09, 0.36)",0.0015131066939086,0.0332883472659892,Gram Negative,**
BAG,    Mycobacterial Infections,62931,62554,377,0.139231120894067,0.215585673001888,-0.283317163439642,0.561779405227775,"0.14 (-0.28, 0.56)",0.518393538061529,1.0,Mycobacterial,
BAG,    Mycoplasma Infections,62931,62915,16,-0.287773073896009,1.04320348691091,-2.33245367565979,1.75690752786777,"-0.29 (-2.33, 1.76)",0.782660214545431,1.0,Mycoplasma,
BAG,    Acute Bacterial Infections,62931,36721,26210,0.119577077381704,0.0338207332652295,0.053288382882021,0.185865771881387,"0.12 (0.05, 0.19)",0.00040711994116868,0.00895663870571096,Acute Bacterial,**
BAG,    Chronic Bacterial Infections,62931,61488,1443,0.170437862963417,0.111176456267446,-0.0474681796783848,0.388343905605219,"0.17 (-0.05, 0.39)",0.125271231014691,1.0,Chronic Bacterial,
BAG,  Viral Infections,62931,31900,31031,0.231097812664096,0.0333497761999825,0.165732194810203,0.296463430517989,"0.23 (0.17, 0.30)",4.26328708569017e-12,9.37923158851837e-11,Viral,**
BAG,    Acute Viral Infections,62931,38716,24215,0.170354803202063,0.0342549421297501,0.103215058592274,0.237494547811853,"0.17 (0.10, 0.24)",6.60483231365669e-07,1.45306310900447e-05,Acute Viral,**
BAG,    Herpes Viral Infections,62931,37040,25891,0.238180410253575,0.0339170531311768,0.171702928653448,0.304657891853702,"0.24 (0.17, 0.30)",2.2023114925872e-12,4.84508528369184e-11,Herpes,**
BAG,    Other Potentially Persistent Viral Infections,62931,62717,214,0.578447096416536,0.286063116830495,0.0177629027743164,1.13913129005876,"0.58 (0.02, 1.14)",0.0431706545736682,0.9497544006207,Other Viral,*
BAG,  Parasitic Infections,62931,62012,919,-0.143290760985171,0.138819153181253,-0.415376536410902,0.12879501444056,"-0.14 (-0.42, 0.13)",0.301976900096561,1.0,Parasitic,
BAG,  Fungal Infections,62931,57820,5111,-0.0815002079977627,0.060938543656681,-0.200939856808284,0.0379394408127585,"-0.08 (-0.20, 0.04)",0.181091587642001,1.0,Fungal,
BAG,Acute Infections,62931,25816,37115,0.17318905733814,0.033857794967899,0.106827721838434,0.239550392837846,"0.17 (0.11, 0.24)",3.14343181211389e-07,6.91554998665056e-06,Acute,**
BAG,Chronic Infections,62931,35868,27063,0.236498199554629,0.0336872836435871,0.170471066539459,0.3025253325698,"0.24 (0.17, 0.30)",2.23465800641095e-12,4.91624761410409e-11,Chronic,**
