Characteristics,Predictors,N total,Event,Non-Event,Controls Event,Controls non-Event,Expose Event,Expose non-Event,HR,Lower 95%CI,Upper 95%CI,HR (95%CI),P value,P BFI,Abbreviations,p_star
Stroke,All Infectious Diseases,493010,11941,481069,5990,307737,5951,173332,1.47112767002798,1.41811564749289,1.52612138886424,"1.47 (1.42, 1.53)",1.98197637599187e-94,3.05224361902748e-92,Any,**
Stroke,Bacterial Infections,537361,12446,524915,6939,361470,5507,163445,1.52577897194459,1.47129995753618,1.58227522491522,"1.53 (1.47, 1.58)",7.9912610292176e-115,1.23065419849951e-112,Bacterial,**
Stroke,Invasive Bacterial Infections,527930,12841,515089,10263,444313,2578,70776,1.86947925682677,1.78772892975635,1.9549679112604,"1.87 (1.79, 1.95)",1.38648101760218e-165,2.13518076710736e-163,Invasive,**
Stroke,Localised Bacterial Infections,540346,12854,527492,8044,384612,4810,142880,1.43549036655105,1.38384278107831,1.4890655359384,"1.44 (1.38, 1.49)",2.63908850052089e-83,4.06419629080217e-81,Localised,**
Stroke,Bacterial Infections with Sepsis,509954,13305,496649,12701,479823,604,16826,2.73104348927254,2.50893149047994,2.97281873522626,"2.73 (2.51, 2.97)",3.31120907865654e-119,5.09926198113107e-117,Sepsis,**
Stroke,Bacterial Infections without Sepsis,535963,12450,523513,6996,361942,5454,161571,1.5136887368374,1.45959867003639,1.56978328294263,"1.51 (1.46, 1.57)",1.93932318782748e-110,2.98655770925432e-108,No-Sepsis,**
Stroke,Extracellular Bacterial Infections,507928,13175,494753,12138,467600,1037,27153,1.96554305696861,1.84126777936861,2.09820622078245,"1.97 (1.84, 2.10)",1.98646319148167e-91,3.05915331488177e-89,Extracellular,**
Stroke,Intracellular Bacterial Infections,492219,13190,479029,13088,476500,102,2529,1.54383269417598,1.26932251359891,1.87770985078407,"1.54 (1.27, 1.88)",1.37776735500233e-05,0.00212176172670359,Intracellular,**
Stroke,Gram Positive Bacterial Infections,501125,13254,487871,12651,473409,603,14462,2.03315140678975,1.86934353237062,2.21131352870648,"2.03 (1.87, 2.21)",1.43030531470372e-61,2.20267018464373e-59,Gram Positive,**
Stroke,Gram Negative Bacterial Infections,505385,13213,492172,12520,472924,693,19248,1.93191125181379,1.78609095131047,2.08963663476729,"1.93 (1.79, 2.09)",9.02183384506757e-61,1.38936241214041e-58,Gram Negative,**
Stroke,Mycobacterial Infections,491818,13199,478619,13168,477886,31,733,1.63679100181636,1.14650000281203,2.33675078679109,"1.64 (1.15, 2.34)",0.00667588543576488,1.0,Mycobacterial,*
Stroke,Mycoplasma Infections,494249,13311,480938,13303,480782,8,156,2.22467695034951,1.11602902710342,4.43464050954094,"2.22 (1.12, 4.43)",0.0230947940798127,1.0,Mycoplasma,*
Stroke,Acute Bacterial Infections,537405,12555,524850,7132,365538,5423,159312,1.52918124267663,1.47468253685387,1.58569401516264,"1.53 (1.47, 1.59)",1.88489576600368e-116,2.90273947964567e-114,Acute Bacterial,**
Stroke,Chronic Bacterial Infections,500141,13190,486951,12833,474927,357,12024,1.34380866544536,1.20886711651038,1.49381326091398,"1.34 (1.21, 1.49)",4.42271343747133e-08,6.81097869370585e-06,Chronic Bacterial,**
Stroke,Viral Infections,461704,12691,449013,11074,397764,1617,51249,1.19828268907094,1.13698516479261,1.26288490596885,"1.20 (1.14, 1.26)",1.4593235708258e-11,2.24735829907173e-09,Viral,**
Stroke,Acute Viral Infections,469014,12830,456184,11701,418237,1129,37947,1.19620623147903,1.1249291405977,1.2719995389834,"1.20 (1.12, 1.27)",1.09323349713493e-08,1.68357958558779e-06,Acute Viral,**
Stroke,Herpes Viral Infections,458408,12906,445502,12260,426410,646,19092,1.18367893083563,1.09320963303058,1.28163507617482,"1.18 (1.09, 1.28)",3.22752915712242e-05,0.00497039490196853,Herpes,**
Stroke,Other Potentially Persistent Viral Infections,494626,13308,481318,13260,479650,48,1668,1.36064609421629,1.02135732791556,1.81264454966449,"1.36 (1.02, 1.81)",0.0353464029502368,1.0,Other Viral,*
Stroke,Parasitic Infections,493608,13274,480334,13172,476345,102,3989,0.986234661474814,0.810701971605129,1.19977358087405,"0.99 (0.81, 1.20)",0.889757218818438,1.0,Parasitic,
Stroke,Fungal Infections,511445,13251,498194,11967,455743,1284,42451,1.138905240463,1.07475176539915,1.20688812850878,"1.14 (1.07, 1.21)",1.09763033348066e-05,0.00169035071356022,Fungal,**
Stroke,Acute Infections,504927,12177,492750,6596,331111,5581,161639,1.50474731174388,1.45076083716625,1.56074275938079,"1.50 (1.45, 1.56)",1.67207516111399e-106,2.57499574811555e-104,Acute,**
Stroke,Chronic Infections,463757,12774,450983,11698,418006,1076,32977,1.24001081814245,1.16446854836708,1.32045372222935,"1.24 (1.16, 1.32)",1.97432855526349e-11,3.04046597510577e-09,Chronic,**
